127.0.0.1 - - [24/Mar/2025:09:13:33 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:35 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=19 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:35 +0900] "GET /jsp_basic/jsp016_adult.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:42 +0900] "POST /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:45 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=20 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:45 +0900] "GET /jsp_basic/jsp016_adult.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:08 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=25 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:08 +0900] "GET /jsp_basic/jsp016_adult.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:07:05 +0900] "POST /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:07:09 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=25 HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:11 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:11 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:11:35 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:11:35 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:12:31 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:12:31 +0900] "GET /jsp_basic/jsp016_child.jsp?userage=1 HTTP/1.1" 200 701
